class	hydrophobicity_score
Sterol	19.33
Sterol	38.7
Sterol	59.0
Sterol	63.46
Sterol	54.15
Sterol	66.74
Sterol	78.62
Sterol	55.57
Sterol	48.24
Sterol	35.09
Sterol	100.0
Sterol	68.33
Sterol	59.57
Sterol	34.4
Sterol	53.86
Sterol	72.03
Sterol	40.6
Sterol	82.4
Sterol	56.52
Sterol	46.6
Sterol	35.0
Sterol	39.8
Sterol	56.53
Sterol	55.75
Sterol	20.83
Sterol	73.0
Sterol	65.33
Sterol	0.0
Sterol	61.88
Sterol	71.6
Sterol	61.2
Sterol	42.92
Sterol	51.65
Sterol	52.38
Sterol	34.4
Sterol	49.36
Sterol	81.11
Sterol	64.22
Sterol	60.82
Sterol	20.5
Sterol	35.8
Sterol	71.32
Sterol	58.86
Sterol	35.44
Sterol	70.92
Sterol	60.59
Sterol	49.86
Sterol	63.78
Sterol	57.67
Sterol	39.4
Sterol	0.0
Sterol	29.5
Sterol	32.0
Sterol	62.2
Sterol	44.1
Sterol	60.36
Sterol	50.14
Sterol	18.5
Sterol	63.15
Sterol	-3.5
Sterol	48.23
Sterol	65.55
Sterol	77.2
Sterol	21.0
Sterol	57.79
Sterol	24.09
Sterol	8.25
Sterol	77.67
Sterol	66.83
Sterol	55.75
Sterol	59.11
Sterol	73.13
Sterol	48.67
Sterol	34.29
Sterol	20.83
Sterol	53.08
Sterol	85.67
Sterol	53.58
Sterol	61.56
Sterol	64.22
Sterol	65.5
Sterol	87.38
Sterol	66.1
Sterol	41.45
Sterol	36.05
Sterol	23.67
Sterol	-1.33
Sterol	90.75
Sterol	20.83
Sterol	55.59
Sterol	38.83
Sterol	31.32
Sterol	34.4
Sterol	31.43
Sterol	46.0
Sterol	42.2
Sterol	88.6
Sterol	57.09
Sterol	59.12
Sterol	43.83
Sterol	34.4
Sterol	97.0
Sterol	59.38
Sterol	57.6
Sterol	64.57
Sterol	50.56
Sterol	52.75
Sterol	45.89
Sterol	81.1
Sterol	47.93
Sterol	34.78
Sterol	34.4
Sterol	60.46
Sterol	39.2
Sterol	61.76
Sterol	97.0
Sterol	34.4
Sterol	59.17
Sterol	13.87
Sterol	64.67
Sterol	62.36
Sterol	50.33
Sterol	13.7
Sterol	35.09
Sterol	53.13
