class	pi-stacking_angle
Prenol	12.58
Prenol	7.72
Prenol	10.21
Prenol	7.29
Prenol	14.28
Prenol	9.94
Prenol	27.64
Prenol	64.29
Prenol	8.4
Prenol	6.04
Prenol	23.62
Prenol	11.01
Prenol	8.8
Prenol	11.01
Prenol	9.27
Prenol	11.66
Prenol	9.73
Prenol	9.42
Prenol	9.78
Prenol	67.88
Prenol	13.26
Prenol	12.9
Prenol	14.56
Prenol	10.4
Prenol	7.01
Prenol	13.22
Prenol	10.2
Prenol	21.4
Prenol	16.25
Prenol	15.68
Prenol	8.86
Prenol	7.4
Prenol	10.51
Prenol	9.8
Prenol	10.05
Prenol	13.86
Prenol	83.73
Prenol	15.16
Prenol	10.68
Prenol	7.8
Prenol	8.9
Prenol	4.2
Prenol	3.51
Prenol	16.08
Prenol	23.64
Prenol	25.95
Prenol	28.42
Prenol	17.31
Prenol	9.29
Prenol	6.8
Prenol	16.08
Prenol	23.64
Prenol	28.42
Prenol	69.47
Prenol	9.81
Prenol	9.43
Prenol	9.81
Prenol	9.43
Prenol	67.09
Prenol	77.55
Prenol	83.75
Prenol	87.25
Prenol	89.43
Prenol	78.33
Prenol	8.8
Prenol	11.44
Prenol	15.48
Prenol	16.13
Prenol	14.2
Prenol	9.81
Prenol	16.0
Prenol	10.37
Prenol	16.4
Prenol	10.91
Prenol	81.44
Prenol	69.24
Prenol	81.22
Prenol	83.21
Prenol	89.98
Prenol	87.09
Prenol	82.99
Prenol	87.08
Prenol	78.27
Prenol	20.87
Prenol	24.98
Prenol	69.58
Prenol	71.46
Prenol	4.99
Prenol	5.32
Prenol	3.94
Prenol	4.39
Prenol	10.02
Prenol	11.05
Prenol	10.97
Prenol	22.92
Prenol	6.03
Prenol	23.47
Prenol	26.06
Prenol	20.08
Prenol	15.14
Prenol	10.3
Prenol	89.03
Prenol	88.22
Prenol	83.66
Prenol	81.46
Prenol	88.21
Prenol	89.84
Prenol	7.21
Prenol	8.53
Prenol	81.38
Prenol	68.5
Prenol	9.81
Prenol	9.58
Prenol	11.09
Prenol	9.44
Prenol	11.59
Prenol	4.86
Prenol	21.07
Prenol	11.54
Prenol	11.8
Prenol	9.25
Prenol	9.81
Prenol	22.65
Prenol	6.01
Prenol	24.64
Prenol	26.62
Prenol	23.62
Prenol	8.02
Prenol	7.88
Prenol	14.17
Prenol	16.55
Prenol	11.97
Prenol	12.09
Prenol	4.77
Prenol	73.75
Prenol	6.29
Prenol	26.94
Prenol	14.66
Prenol	13.47
Prenol	4.86
